                      (*)   mesure a 300k
                      (**)  isomere le plus stable
                      (***) enthalpie inconnue
87 88 h       h       h2                             5.00e-17  0.5      0.00   0 !
  -                   -
  -                   - cosmic-ray direct processes
  -                   -
jan11 h       no      n       oh                     3.60E-10   .00 24912.00   4 !  1500  4500 -  NIST 1994BAU
jan11 h       no      nh      o                      9.29E-10  -.10 35223.00   4 !  1300  3000 -  NIST 1991COH
jan11 h       o2      oh      o                      2.61E-10   .00  8158.00   4 !   300  5500 -  NIST fit all data except 1986MIL
jan11 h       oh      o       h2                     6.99E-14  2.80  1950.00   4 !   300  2500 -  NIST 1986TSA
jan11 h       hno     h2      no                     4.50E-11   .72   329.00   4 !   200  3000 -  NIST 1992SOT
jan11 h       hno     oh      nh                     2.40E-09  -.50  9011.00   4 !   350  3000 -  NIST 1991COH
jan11 h       hno     o       nh2                    1.05E-09  -.30 14731.00   4 !   550  3000 -  NIST 1991COH
jan11 h       h2o     h2      oh                     3.19E-10   .00 10551.00   4 !   250  3000 -  NIST
jan11 h       hco     co      h2                     3.32E-10   .00      .00   4 !   300  2700 -  NIST within a factor 2 to all data
jan11 co      h2      h       hco                    3.76E-10   .70 44246.00   4 !   300  2700 -  >INV NIST within a factor 2 to all data
jan11 h       hco     o       ch2                    6.61E-11   .00 51603.00   4 !  1200  1800 -  NIST 1981TSU
jan11 h       co2     co      oh                     3.16E-10   .00 13271.00   4 !   300 15223 -  NIST fit all data
jan11 h       nh2     nh      h2                     8.55E-11   .00  4056.00   4 !  1100  3000 -  NIST fit to all data
jan11 h       nh3     nh2     h2                     6.84E-14  3.76  4250.00   4 !   200  2000 -  NIST fit to 1997COR & 1994ESP
jan11 h       h2co    hco     h2                     4.27E-12  1.45  1334.00   4 !   250  5000 -  NIST fit all data
jan11 h       h3co    h2      h2co                   1.66E-11   .00      .00   4 !  1900  2700 -  NIST 1992CRI, 1987TSA & 1984WAR gives no T dependence
jan11 h2      h2co    h       h3co                   3.10E-11   .60 37060.00   4 !  1900  2700 -  >INV NIST 1992CRI, 1987TSA & 1984WAR gives no T dependence
jan11 h       h3co    oh      ch3                    1.60E-10   .00      .00   4 !   300  2500 -  NIST 1987TSA
jan11 h       ch3oh   ch3     h2o                    4.56E-16  3.26  1616.00   4 !   298  2500 -  NIST branching ratio aprox 0.1% from 97LEN, assumed constant for all T
jan11 ch3     h2o     h       ch3oh                  2.74E-18  4.21 14540.00   4 !   298  2500 -  >INV NIST branching ratio aprox 0.1% from 97LEN, assumed constant for all T
jan11 h       ch3oh   h3co    h2                     4.39E-13  3.26  1616.00   4 !   298  2500 -  NIST branching ratio aprox 96% from 97LEN, assumed constant for all T
jan11 h       h2s     sh      h2                     3.70E-12  1.94   455.00   4 !   190  2237 -  NIST 1999PEN (erratum in NIST)
